,순위,영화명,매출액,관객수,스크린수,감독,등급,관람객평점,네티즌평점,장르,국적,개봉일,추천,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,남성 만족도,여성 만족도,Na
1676,17899.0,키스 오브 드래곤,0,0,0,크리스 나흔,청소년 관람불가,관람객 평점 없음,8.59,액션,프랑스,20140904 재개봉  20011123 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.52,8.86,
1677,17901.0,키즈 리턴,0,0,0,기타노 다케시,15세 관람가,관람객 평점 9.31점,8.94,드라마,일본, 20000928 개봉,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,0%,69%,23%,0%,8%,8.98,8.86,
1678,17903.0,킬러들의 수다,0,0,0,장진,15세 관람가,관람객 평점 없음,8.31,액션 드라마 코미디,한국, 20011012 개봉,이 영화는 10대 여성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,7.57,9.04,
1679,17924.0,토이 스토리 2,0,0,0,존 라세터,전체 관람가,관람객 평점 없음,9.27,애니메이션 모험,미국,20100505 재개봉  19991218 개봉,이 영화는 10대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.23,9.43,
1680,17933.0,트레이닝 데이,0,0,0,안톤 후쿠아,청소년 관람불가,관람객 평점 없음,8.57,액션 드라마 스릴러 범죄,미국, 20011102 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.58,8.66,
1681,17943.0,파이란,0,0,0,송해성,15세 관람가,관람객 평점 없음,9.13,멜로로맨스 드라마,한국, 20010428 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,9.14,8.89,
1682,17946.0,파인딩 포레스터,0,0,0,구스 반 산트,12세 관람가,관람객 평점 없음,8.97,드라마,미국, 20010526 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.92,9.06,
1683,17984.0,프리퀀시,0,0,0,그레고리 호블릿,12세 관람가,관람객 평점 없음,9.32,범죄 드라마  스릴러,미국, 20001125 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.29,9.45,
1684,17985.0,프릭스,0,0,0,"잭 리포브스키, 애덤 B. 스타인",15세 관람가,관람객 평점 없음,8.2,드라마  스릴러,캐나다,,이 영화는 40대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.16,8.30,
1685,17988.0,프린스 앤 프린세스,0,0,0,미셸 오슬로,,관람객 평점 없음,9.27,애니메이션 코미디 가족,프랑스, 20010505 개봉,이 영화는 10대 여성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,8.43,9.61,
1686,17989.0,플란다스의 개,0,0,0,봉준호,12세 관람가,관람객 평점 8.25점,8.21,드라마 코미디,한국, 20000219 개봉,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,0%,50%,50%,0%,0%,8.11,8.46,
1687,18021.0,핫 칙,0,0,0,톰 브래디,15세 관람가,관람객 평점 없음,8.16,코미디,미국, 20030425 개봉,이 영화는 10대 여성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,7.99,8.38,
1688,18035.0,헤드윅,0,0,0,존 카메론 미첼,15세 관람가,관람객 평점 9.46점,9.19,드라마 코미디 뮤지컬,미국,20170628 재개봉  20020809 개봉,이 영화는 20대 여성이 좋아하는 OST가 뛰어난 영화입니다.,5%,68%,20%,6%,1%,8.64,9.51,
1689,18041.0,혹성탈출,0,0,0,프랭클린 J. 샤프너,15세 관람가,관람객 평점 없음,9.23, 액션 드라마 미스터리,미국, 19690925 개봉,이 영화는 10대 남성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,9.15,9.64,
1690,18044.0,화양연화,0,0,0,왕가위,15세 관람가,관람객 평점 9.17점,8.77,드라마 멜로로맨스,홍콩 프랑스,20201224 재개봉 20131128 재개봉  20001021 개봉,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,3%,46%,33%,7%,10%,8.47,8.96,
1691,18058.0,희극지왕,0,0,0,"주성치(사우), 막문위(부망), 장바이즈(피우)더보기",12세 관람가,관람객 평점 없음,8.86,코미디 액션,홍콩, 20000226 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.80,9.20,
1692,18077.0,4월 이야기,0,0,0,이와이 슌지,12세 관람가,관람객 평점 9.00점,8.21,멜로로맨스,일본,20130425 재개봉  20000408 개봉,이 영화는 20대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,0%,33%,67%,0%,0%,8.24,8.20,
