영화명,평점리뷰
"그래, 가족","관람객 아역이 왜케 연기 잘해 ㅋㅋㅋ 재밌었음!!가족끼리 보기 너무 좋은 영화. 마음이 따뜻해지는 좋은 시간이었습니다여기 한줄평들이 국어책 읽는거같은 느낌이든다오랜만에 개봉되는 가족영화 ""그래 가족""늦추위를 따뜻하게 녹여줄거 같아요. 2월 시즌이면 졸업과 입학으로 가족들과 축하할일들이 많은데 ""그래 가족""영화 한편으로 가족에 끈끈한 사랑을 느끼...관람객 마음 따듯해지는 가족영화 재밌어요~~관람객 너무나 다르지만 그럼에도 가족이라는 것! 훈훈하고 따뜻한 영화였어요관람객 애초에 뻔할거 알고간거고 부모가 아니라 남매에 초점을 둔 것도 괜찮았고 편안한 연기가 좋았다관람객 오랜만에 날씨도 추운데 따뜻한 가족영화를 본것같아 너무너무 좋았어요. 가족으로 나오는 배우들 전부다 실제 가족처럼 연기해서 더욱 재미있게 본거 같아요^^ 특히 남자 아역배우 정준원이 너무 연기를 귀엽게 잘했던거 같아...가족이랑 다시보고싶다 ^^관람객 요즘처럼 분위기 퍽퍽할 때 유쾌한 가족영화로 분위기 전환하는 것도 좋을 거 같네요. 요원씨랑 만식씨 호흡도 볼만하구요. 잘봤습니다. 그래 가족 보고나면 우리도 이제 가족이다. 그래 가족."
멋진 악몽,유령이 법정에 선다는 아이디어만으로 이렇게 재밌는 이야기를 만들다니. 법정영화가 이렇게 재밌을 줄은 몰랐다. 화려한 스타급 조연도 볼거리. 재치있고 따뜻하고 대담한 영화. 뮤지컬로 만들어도 재밌겠다.이 영화 재밌었어요~!! ㅋㅋ아무생각 없이 봤는데 기억에 남는 영화가 되어버렸죠~!!긴 러닝타임에도 불구하고 전혀 루즈해지지 않는 감독의 연출이 대단하다 반전도 있고 배우들도 연기 너무 잘한다 정말 한참 웃으면서 봤다 너무 재미있었다 최고!!미타니 코키 감독의 특유의 유머가 잘 버무러진 영화..재밌다 ㅊㅊ이런영화좋아 ㅋㅋ동화를 본 것 같은 여운이 남는 영화. 두 시간이 전혀 지루하지 않았다.마지막 영화 끝날때 감독의 센스가 돋보이는 영화네요 ㅎ내가 본 영화 중에서 최고!!아주 재밌음.
발레 교습소,모르겠다 평점이 왜 이렇게 낮은지....ㅋ 진짜 저 나이대가 보기엔 저 나이대에 할 수 있는 온갖 고민들과 일상의 잡다한 공감대들 다 모아놨는데...힘든시기에 봐서 그런지 공감이 많이 됐어요... 비현실적이다 그...준기 나와서 보게 된 영화!!!!제목처럼 꼭 발레 얘기만 아닌 어른으로 넘어가는 과도기를 꽤 잘 그렸다고 생각했기 때문에 볼만 한것 같다. 그리고 지금은 어엿한 베테랑 주연배우가 된 배우들의 신인모습을 보는 재미도 있다내 인생의 영화...연기력도 모두 최고였고 특유의 롱테이크 기법으로.. 인물들의 불안하고 방황하는 내면심리를 잡아내는데 최적화된 영화라고 판단될 정도.. 감사합니다 이런 영화를 만들어 주셔서 정말 보는동안 펑펑운 영...ㅋㅋ개인적으로 진짜웃겼던영화 중간중간 눈물나어는 요소도있고 ㅠㅠ 윤계상씨 연기진짜잘하시고 이준기도 귀엽고 스물느낌도 나는데 스물보다 훨재미있었어여그게 일상을 살다보면 문득 보고 싶다는 생각이 드는 영화기대이상의 수작!윤계상의 연기는 열아홉 강민재의 모습 그 자체였음OO이나 지나 보았지만 정말 추천할만한 영화입니다puyrdwehhgygghe보다가 잠들기 편한 영화.모르겠다 개봉당시 극장에서보고 2년마다 다시보는거같다왜이렇게 생각나지..
페넬로피,"영화보고나서 평점 줄때 너무 심각하게 생각하지 말았으면 한다. 어떤 이가 뭐라하던지 내 맘에 들면 되는 것 아닌가? 영화속 제임스 맥어보이를 보고 2시간 가까이 행복했던 걸로 충분히 별 다섯개 줄 만 하다.제임스 맥어보이 리즈시절 꽃미모 하나로 십점은 충분하다ㅋㅋㅋ여주 돼지코일때도 예쁘다고 생각한건 나뿐인가,,?아..이영화 완전 대박...감동적이고 교훈도주네요...마지막엔딩키스신이 아직도 잊혀지질않네요ㅠㅠ남주가 진짜 멋있다진심 ㅠㅜ세상에 저런 남자가 또 있을까요?..스토리상 8점정도의 재밌는 영화지만 제임스맥어보이 비주얼이 쩔어서 9점이요!한 편의 동화를 본 기분이예요.동화같은 영화를 좋아하신다면 보시길아 진짜 짱 웃기고 맥어보이에게 뿅이 영화 보고 맥어보이 팬이 됨. 영화 자체가 주는 메시지도 감동적임돼지코였어도 이쁜게 함정지루한감 없이 집중하고 볼수있었고 제임스맥어보이한테 푹 빠졌다"
아나콘다,제니퍼로페즈가 나왔었구나 ㅋㅋㅋㅋㅋㅋㅋㅋ 어릴땐 몰랐는데 ㅋㅋㅋ아나콘다는 1이 짜세지.1997년. . 그때 난 이영화는 공포 그 자체였지. 특히 먹었다가 다시 뱉을때.. 윙크는 지금 다시봐도 명장면. ㅋㅋ아나콘다 악역이 트랜스포머1 국방부장관이였어...제니퍼로페즈 오웬윌슨 출연진 대박어렸을때 보고 그리워서 다시봤는데 아직도 재밌다괴물영화로서는 최상급 퀄러티생동감있게 잘만들었음.CG가... CG가...존보이트라는배우착할줄알았는데밥맛이네 ㅋㅋ스포일러가 포함된 감상평입니다. 감상평 보기
마이펫 오지,"마이펫은 오지구요 숨겨진비밀은 지리구요관람객 잼있었어요..지루하지않고..즐겁게보았답니다..강추예요..오즈귀여워요^관람객 다른것 보다 팬심만으로 짱!내용도 정말 좋았어요시사회서 봤는데 캐릭터도 이쁘고 스토리도 재밌어요.관람객 애들이 울뻔했다네요 감동적이라고관람객 오늘얼집땡땡이치고첫개봉날첫조조로보고왔어요ㅎ6살따이첨엔지루해하고몸을비비며있다제가중간설명하며이해시키고잘보고왔네요ㅎ마이펫이중생활생각하며갔는데좀덜재미있었어요솔직히^^;평이 이렇게 좋을줄은.. 애니덕후라 웬만하면 다 재밌게 보는데 이건 너무 지루했네요.. 중간에 두번이나 졸았어요. 아이는 괜찮았나봐요네이버 평점보고 선택하고 애들하고 방금 보고 나왔어요 개들 교도소 이야기가 내용의 80% 네요 시작전에 우리밖에 없어서 불안했는데 3팀이 더들어와서 다행(?)입니다 쇼생크탈출 패러디도 있고... 평점알바의 존재가...관람객 아이들이 또 보고싶다고하니 우선 보람있었고, 저도 재미있게 봤어요관람객 반려견을 키우는 저희가족은 재미있게 감동있게 잘보았네요 5살아들도 이해하기 쉬운내용이였고 다시한번 키우고있는 저희강아지들을 돌아볼수있는 시간이였엉ㅅ"
거북이는 의외로 빨리 헤엄친다,소소한 일본식 코믹요소와 반복된 일상에 비범해보이는 남들의 삶을 부러워하던 내모습이 공감되며 평범함에 대한 새로운 시각과 공작은 화려하지만 그 화려함 때문에 결국 우리(감옥)에 갇히고 참새는 평범하지만 자유롭게 날...자신이 평범하다고 느끼는 것은 남의 것과의 비교에서 시작된다. 내가 하루종일 앉아서 멍때리고 있어도 그것 자체로도 나에게는 참 특별한 삶이다. 평범하다고 생각하는 자신의 삶에 의미를 부여한다는 것만으로도 특별해진...코모도동토동아즈키판다짱~ ~ ~ ~ ~평범함 속에서 끄집어내려는 특별함. 우리의 일상은 의외로 재밌는 속내를 가지고 있을지도 모른다. 처음에는 지루했지만 갈수록 미워할 수 없는 평범함의 매력이 있었던 영화볼때마다 편하고 행복한 몽실몽실한 토요일 오후같은 기분 열번이상은 본것같다 배우도 좋고 내용도 좋다여기에 고독한미식가 아저씨 나옴ㅋㅋ평범한 척하는 라면전문점주인ㅋㅋ우리는 평범하게 살기위해서 더욱더 많은 노력을 하고 있는거다.내 인생 베스트3에 드는 영화 .인생의 평범함을 다시한번 생각하게 하는 영화
팬도럼,"재밌네..ㅎㅎ 이정도면 수작인걸.. 비쥬얼도 좋고전문가평점은 얼어죽을..그냥 지들 상상력 감성에 안맞으면 쓰레기취급하는거지..함부로 전문가 평점이란 란 단어 쓰지마라진짜 재밌고 결말도 맘에 들어요 이런 류는 결말이 항상 맘에 안 드는데 이건 아니라서 좋으네요!무쟈게ㅠ재밌음와우! 간만에 SF물중 최고!절대 씨네21 평단은 믿지 말아라. 제목이 팬도럼 답게 우주공간에서의 극한의 폐쇄공포증을 보여준다. 그것을 액션으로 승화하여 재미는 두배, SF호러물로 수작임이 영화 B급 생각하고 봤는데 장난아니고 엄청 대작입니다. 긴장감도 죽여주고 옛날에 에이리언시리즈 만큼이나 몰입하면서 봤습니다. 스토리와 공포,액션이 아주 배합이 잘된 영화에요. 강력히 추천함. 이런게 영화죠....기자 평론가 점수가 왜이리 낮지? 정말 괜찮은 영화인데..지겹다 평론가들의 평점놀이. 도대체 누굴 위한 평점이냐? 저건 뭐 테러수준이네왜 전문가들 평점이 낮은지 모르겠다 이정도면 훌륭하다 에휴 영화 평론가들 이란 존재는 지들은 감독하고 싶었는데 감독이 못된 놈들이나 하는거지 ㅉㅉ 그러면서 비판을 엄청 잘한다 자기..."
봄날의 곰을 좋아하세요?,그 때 당시에 망해서 안보고 있다가 시간때우기로 봤는데 졸재밌네 요즘나오는 영화보다 낫네 암튼 생각없이 보다가 재밌게 봤음이런 곰 같은 경우를 봤나!!! 사랑스러운 영화 ^-^봄날의 곰을 좋아하세요? 달달한 제목처럼 정말 달달한 영화입니다. 쓸쓸한 가을 달달한 사랑을 느끼게 해줬던 영화에요. 달달한 사랑을 꿈꾸는 사람은 추천합니다 ㅎㅎ남자와 여자 사이엔 남자가 더 좋아해야 오래오래 햄볶는다ㅋㅋㅋ 근데 윤종신이 제일 어색하면서 웃김ㅋㅋㅋ배두나의 발에 볼을 부비며 너무나도 사랑에 겨운 표정을 짓던 김남진의 모습이 깊은 감동을 주었던 영화. '아! 진정 사랑의 감정이란게 저런 거구나..!' 하는 깨달음을 얻었던...^^어색함조차 너무나 현실적이고 판타지스러운 영화. 폭파씬없으면 시시한영화인건가;;조용한 로멘스.. 모두가 순진해서 좋다그냥난이런영화가좋다오랫만에 상업성없는 문학적인 예술을 봤다 보는내내 마음이 따뜻해짐을 절실히느꼈다매우 따뜻하고 포근하다.배두나의 연기는 멋지다.청순한 배두나의 매력을 느끼는 영화
빅 아이즈,"여자는 주체적이어야한다. 1950년도 그렇고 지금도 그렇다진실은 늘 힘없어보인다.하지만 그 숨겨진 힘은 막을 수없다평점이랑 말들다왜이래 보러가고싶게눈은 영혼의 창! 가장 와닿았던 말진실된 빅아이즈는 과연 누구에게팀버튼만의 분위기, 영화의 영상미는 나무랄것 없이 완벽,또한 배우들의 최고의 연기까지 똑똑히 영화에 흘러들었으니, 영화는 정말 완벽하다. 타락의길로들어서는크리스토프의 연기도 일품. 돈이...빅아이즈 그림 하나 갖고 싶네요..서프라이즈 극장판...관람객 영화는 좋았어요!!다만 내용 상.. 시원하게 욕이 하고 싶었어요..재밌습니다. 팀버튼 영화는 무조건 우울할거라는 편견이 있었는데 이영화는 시종일관 밝고? 따뜻하더군요. 모든 캐릭터를 미워할수 없게끔 사랑스럽게 표현했고 특히 크리스토프 왈츠 연기가 일품이에요. 극중 남편의 입장도 이...팀버튼의 색이 흐려졌다는 소릴 들었는데.. 전혀설사 색이 흐려졌다고해도 명배우들의 연기력이 모든걸 커버해줬습니다. 명작입니다"
저 산 너머,"어머니라는 존재는 참으로 위대하네요. 어버이날 입금 완료.김수환 추기경님의 어린시절 고향마을 정경과 어머니의 모습이 너무 인상깊었습니다. 어린시절에도 이미 남의 부끄러움을 자기의 부끄러움으로 여기고, 싸움에 이기고도 눈물을 흘리고, 아이답지않게 남의 고통을 이미 헤아리는 ...관람객 영화가 너무 따뜻해요 마음이 사르르르 가족들과 극장가면 이게 원픽관람객 아역들이 연기를 잘해서인지 감정이입도 되고 오랜만에 극장와서 그런지 위로 받는 느낌도 들고 ㅠ 너무 좋은 영화에요. 말그대로 너무나 좋은 영화!종교를 초월한 인간적인 영화ㅜㅜ가족들과 보기에 정말 좋은 영화입니다. 강추합니다관람객 잔잔한 스토리와 감동끝나고 남는 진한 여운이 있는 영화입니다.관람객 아역배우들 너무 귀여워요 ㅠㅠ 풍경도 예뻐서 힐링되는 기분 ㅠㅠ 연휴에 가족이랑 보기 좋을 것 같습니당관람객 영상미도 좋고 보는내내 찡하고 ㅠ 많은 것을 생각하게 만들어주는 영화였어요!!천주교인으로써 넘 감동적이고 너무 좋았습니다 김수환추기경님 존경하고 순교자분들도 존경합니다 다시 한번 더 열심히 신앙생활을 열심히 해야겠다고 깨닫게 해주는 영화입니다"
폼포코 너구리 대작전,"엔딩이 매우 씁쓸하다. 죄책감일까?비유적이면서 신랄한, 알고보면 무거운 교훈의 애니메이션. 전개과정이 지루하긴 하다..이 땅의 주인은 누구인가.해학적으로 진지한 메세지를 전하는 좋은 작품너무 재밌는데 ㅈㄴ 눈물이 나넹 ㅠ입장을 바꿔놓고 생각해보게 되는.보는내내 배꼽잡고 웃다가 결말로 갈수록 슬프고 애처롭다.지금도 너구리는 도로를 횡단하고 있지 않을까..다 보고 나서 울고 말았다...엔딩 자막올라가며 너구리들 둥글게 춤출때. 눈물나더만요 ㅠㅠ"
인투 더 스톰,재난 영화 좋아해서 완전 기대했고 무엇보다 컴퓨터 그래픽이 얼마나 자연스러울지 궁금했는데 이건 자연스러운 정도가 아니라 목숨걸고 실제 태풍을 찍어온것 같았음세줄요약.1. 잭나이프 사라.2. 두개 사라.3. 하나는 아버지 드려라.초반 20분은 1시간같고 나머지 1시간은 20분같은 영화임와...보는내내 진짜 그냥와만하다 나왓다진짜 친구랑 둘이봣는데영화다끝나고 나와서와...맥도날드가서 햄버거 먹으면서도계속와....와 밖에 할말이없다 진ㅁ자 내말주변이 없기도한데 진짜 와밖에할말이없다 어떤단어로도표현이잘...기대 이상이더라구요 재밌어요 몰입쩌는 영화 시간도 빨리가고 전개도 흐름이 좋았다고 생각합니다.스토리에 경각심이 묻어나있었다..공포영화보다 서늘하게 만드는 위기감을 느꼈다이 맛에 재난영화 보는거지휘몰아치는 스톰이 한두개도 아니고 여러개가 포위하면서 다가올때 정말 어쩔~!!!지루하다는 사람들은 집중력이 없는건가? 충분히 잼있고 빠져들만한 영화예요시사회가 4D 이에요... 거기서 어렵게 당첨되서 보러갔는데 재밌었어요 또 볼려구요 친구랑... 바람도 장난 아니였구요 시사회 영상 보신분들은 아시겠지만 엄청 놀랍습니다... 이리저리 흔들리고 바람이랑 물이랑 막 이...
멋진 하루,"하정우가 수많은 작품들과 흥행작이 있지만.. 연기력만 봣을떄는 멋진하루가 단연코 1등이다..이런남자 남일땐 멋있지만 내꺼되면 너무 힘들다조병운이라는 캐릭터 참 멋지네요... 아픔을 드러내지않고 주변사람 피해 안주려고 하고 심지어 그걸 긍정적인 마인드로 승화시키는게 참... 본받고싶은, 주위에 한명쯤 있었으면 좋을 그런 사람이네요나는 하정우가 이런 연기 할 때가 제일 좋다.아 말도안되.... 왜이런 영화가 7.85냐......진짜;;; 네티즌들 직무유기 아입니까 이거... 한국영화는 이런게 한국영화지.....태극기박고 아리랑이 안나와도 이런게 한국영화지...하정우와 계획되지 않은 하룻동안의 시간을 보내고 난후 전도연의 마지막 표정이 말해준다."" 내가 정말 괜찮은 남자랑 사랑을 했었구나""이영화를본하루가정말멋진하루다이영화 스타일이 확실히 있는영화임,,, 아우~뭐라말은못하겠는데, 진짜 매력있는 영화였음,,,,, 아~이건 본사람만알텐데,,,, 그느낌이,,,,, 표현을못하겠음,,,암튼 이영화계기로 우리나라 영화점점 평이좋아질꺼란 확...리얼리티와 디테일 연기의 최고봉.이 영화의 매력을 못찾는 사람들의 감수성이 안타깝다"
철콘 근크리트,"배경 그림이 압도적이다머리나빠서 이해못하는거면서 영화탓쩌네 ㅋㅋ 작가가 실력돼서 이런 만화 그리겠다는데 멍청한 관객들가지 일일이 신경써야되냐 그러니까 양산형 애니메이션밖에 안남는거다ㅋㅋ 난 딱 두 번 보니까 다이해되던데, 이해를 시켜달라...2006년 봤는데 저의 일본애니 베스트5위안에 항상 이 작품이 있습니다.이 작품을 비난하는 사람들은 B급 영화만을 좋아 할 것이다. 오로지 흥미위주로만 작품을 바라보고 그 안에 숨겨진 감독과 작가의 생각은 신경도 쓰지 않는걸까. 이 작품을 하나 하나 분석하면서 너무 경의롭다는 생각밖에 ...배경으로 나오는 마을을 아름답게 표현잘했지만.. 내용은 너무 재미없다.도무지 뭘 전하는지 무슨 재미를 줘야하는지를 모르는거같다.잘 전해진듯 보이진 않지만, 애니메이션으로서의 모든 노력은 다하지 않았나 싶을 정도로 훌륭했다.그러니까... 감독아.. 니가 하고자하는 말이 뭐늬?멋진작품심오한 그림체만큼 만만하게 볼 애니가 아니다."
엑스맨 2 - 엑스투,"철분뽑기 쩐다지금이야 퍼스트클래스, 퓨처 패스트만 언급되지만 엑스맨2도 그당시에는 정말 쩔었다1편보다 액션, 캐릭터, 주제의 깊이 등 모든 게 나아졌다.아니 왜 임자있는 여자를 건드리고 난리야 ㅋㅋ3부작 중에서는 가장 좋았다간수의 몸의 철분을 이용해 탈출하는 장면은 압권이다.보기위한 액션에만 빠져서 짜임새 있는 스토리와 작품성을 이해하지 못하고 영화를 재미없다고 생각하는 사람들이 아쉽다1편보다는 재밌었다만 전 인류와 돌연변이의 존망을 걸고 싸우는데 스케일이 너무작다는 느낌을 감출수없다.관점에 따라 악당이 바뀌겠다만 이 편의 악당 역들은 짜증날 정도로 악당 역을 충실히 연기해 주었다. 에릭과 레이븐에게 더욱 더 정이 가게 되는 편이 아닌가 싶다. 뜻 밖의 아티의 행동이 즐거움을 선사해주었다. 역시 ...솔직히 8점영화 그럭저럭 볼만하고 매그니토의 저력을 보여준다."
노인을 위한 나라는 없다,"난 제목만 보고 노인복지문젤 다룬 작품인줄 알앗다..OST 없는 영화라는거.. 엔딩 크레딧 올라갈때 까지 모르고 봤다....샷건의 무서움을 알게만든영화 자비는없다권오중씨도 악역 한번해보세요이 영화를 한번 보고 이해했다면 아인슈타인급 뇌를 가진 사람듯..난 자막 올라가는거 보고 '뭐야 ㅅㅂ'이랬으니까..뭐 나같은 사람만 있는게 아닐테지만..이해하고 싶어지는 영화는 이 영화가 처음이었음.....두터운쌍커플이 무섭다....느끼는게 많은 영화. 이걸 단지 스릴러물이라고 생각하고 보면 절대 안되는 영화다.느끼는 것보다 이해하는 것이 반드시 고차원적이라고는 할 수 없다.해석하려고 할수록 더욱 미궁으로 빠질 뿐인 영화. 감독은 감독대로 만들었고 해석은 관객이 관객대로 하면 그만인데 굳이 ""이게 완벽한 해석이다."", ""아니다. 이게 완벽한 해석이다.""라고 ...히치 하이킹은 너무 위험하다고 말하던 늙은 운전사의 표정은 단순한 충고가 아닌 세상에 대한 공포가 담겨져 있었다."
사랑을 놓치다,"머뭇거리기에 인생은 짧다.. 부디 다른분들은 머뭇거리다 놓치지 말기를..요것봐라? 불과 힐링캠프 출연기사 터지기전까지 10점 10점 9점 투성이인데 22일이후로 1점만 주는군. 스마트폰의 보급으로 우리나라 인터넷문화가 더욱 부정적이고 쓰.레기가 되었다는걸 잘 보여준다대부분의 글들이 인신공격성 글들만 가득하군요 이런글들은 네이버에서 자체적으로 삭제 해주면 좋겠네요 이곳은 작품을 논하는 곳이지 그들의 개인삶에 대한 평가의 장소가 아닙니다 그들의 삶을 우리가 왈가 할수 있는 자격이...아련한 옛사랑의 추억을 불러일으키는 영화. 클래식, 내 머리 속의 지우개와 함께 2000년대 3대 멜로영화로 꼽음.결국 안 놓쳤구나.절묘한 영화.사과밭 이야기는 정말 명언이네요모든일은 타이밍,,하지만 자존심,용기가 없어서, 정말로 몰라서 그 타이밍을 농친다..한편의 그림을 보는듯한 영상과 자연스러운 연기가 최고이 영화에서 설과 송이 마치 진짜처럼 연애해서 맘아팠느데 현실에선이루어졋지요."
엑스맨 탄생: 울버린,"지금 상영하고 있는 '더 울버린' 보다는 훨 낫다고 본다!평점 낮은 거 아닌가? 난 완전 울버린 불쌍하고 멋있고 그랬음 ㅜㅠㅜㅜㅜ 재밌기도 더럽게 재밌었고 ㅠㅠㅠ더울버린보고 이거봣는데 역시이게진리더 울버린이 대박 말아먹으니 반사적으로 엑스맨 오리진 : 울버린이 그나마 괜찮았다는 깨달음으로ㄴㄴ영화는 재밋지만 ㅠㅠ데드풀ㅠㅠ데드풀2 보고 왔다ㅋㅋ재미씀난 이번편이 엑스맨 시리즈중에서는 거의 퍼스트클래스와 비등할정도로 재밌게봤지만 어딘지모르게 아쉬운점은 몇몇있네요아다만티움 총알 맞고 기억잃는다는 설정은 좀 이상하긴했지만, 상당히 재미있게 잘 만든 영화 같다.여기 마지막 빌런 없는 영화가 있다해서 왔습니다. -타임라인 정리-"
무산일기,"BGm 없다고 징징대는 분들은 영화를 이해하면서 보진 못하것 같습니다. 이 영화는 BGM이 없어야 합니다. 현실도 BGM이 없지 않습니까? 한사람의 인생을 잠깐 훔쳐본 듯한 그리고 외롭고 막막한 현실이 느껴졌습니다....10분만 보고 잘려고 틀었는데 끝까지 다 봤다.믹스견은 안되요....오랜만에 한국의 속이 꽉찬영화를 봤다고독함과 상처받은 이들에게 다음생에 행복한 삶을 부여받기를 진심으로 바랍니다.대단하다. 난 배우들이 진짜 탈북자들인줄 알았다. 자극 투성이 한국영화계에...이런 진국 영화가 있어준다는 건..정말 감사한 일이다바빠서 하루종일 굶고 집에 들어와서 TV켜고 밥먹으려고 하다가 계속 굶고 끝까지 다 봤다 고인의 명복을 빕니다박정범이 아니면 누가 만들겠는가. 감독은 예술가로서 충실했다. 하나씩 사라져 가는 영화 속에서 한숨, 두 숨 오랜 숨을 쉬는 영화백구의 그 순결한 영혼이 자본주의의 길바닥에 쓰러져 피를 토해내고 있을 때, 나는 그처럼 그저 쳐다보기만 해야 하는가? 실상 그의 장례식을 목도하며, 나는 어떻게 살아야 하는가?'심장을 움켜쥔'이라는 포스터 카피가 내겐 과장이 아니었다.. 현실에선 아무도 비지엠을 틀어주지도, 소리지르며 울부짖지도 않는다. 승철처럼 저 까만 눈을 내리깔고 살아가고 있을뿐. 소재도. 연출도. 1...이 영화 뭐지? 놀라운 흡입력과 알수 없는 매력에 빠지게 만든다.."
인랑,감독님 죄송해요 한국에서 감독님작품 실사화했는데 망했어요성인들만의 잔혹 동화. 신비로운 테마 음악과 함께 너무나 여운이 남는다.모르는 사람은 아예 보지도 마라...감독이 인간들에게 보내는 메시지...아~~~~ 두번봐도 쩐다..영화보다 더 영화같은 애니마지막 늑대의 표정과 엔딩 크레딧의 ost가 영화의 모든걸 압축해주는 듯 하네요 . 최고작품에 감탄하고 엔딩곡에 취해 5분여의 크레딧까지 보게 되었다.인간의 탈을 쓴 늑대의 고뇌.고딩때 봤을때는 이해를 못해서 솔직히 졸아서 기억이 안남았는데 10년이 지난 지금 다시 보니 너무 명작이라고 느낀다. 진짜 이러한 내용의 작품중 인랑을 넘어설 작품이 또 있을까??영화속에 깔려 있는 메타포어들을 정확히 이해 하고 간다면 마지막 장면이 주는 충격은 상상을 초월 할 것이다...인랑원작자체가 지루하고 답답하고 어두워서 보기 불편한데 이걸 영화화한것부터 문제지 우니라나 관객수준은 신과함께처럼 울리거나 명량처럼 국뽕이거나 둘중하나다
럭키 넘버 슬레븐,"재밌게 잘 만들었구만 난리들이여조쉬 하트넷 특유의 여성들을 자극하는 나약한듯하면서도 남성적인 이미지를 작 부각한듯이 영화가 재미없다는거엔 동의할수 없다내가 본 영화중에 가장 재밋었고 누가 추천해달라고하면 서슴없이 추천가능연출과 음악에서 높은 점수를 주고 싶다. 연극같은 느낌을 주는 러브라인도 꽤 좋았는데. 그리고 중반부까지 영화 특유의 가벼운 분위기와 전개가 맘에 든다.재밋음ㅋㅋㅋ조쉬하트넷 멋짐묘하면서도 통쾌하게 찌르는 부분이 있다. 적당한 여운이 남는 결말도 좋았고. 아쉬었던건 강렬한 한방뿐?kansas city shuffle꽤 괜찮은 영화입니다. 재미있게 봤습니다.처음으로 써보는 영화후기, 최고의 반전이다.세련되고 깔끔한 영화"
말레피센트,안젤리나 졸리의 마녀 역할... 싱크로율 100%다디즈니 왕자들은 점점 어중이 떠중이가 되간다..말레피센트의 오로라공주 육아일기관람객 마녀 이야기라 쫌 무섭지 않을까 했는데 아이들이 무척 재미있어 하더라구요 뿔 사달라고 난리 ㅎ안젤리나 졸리 츤데레 ㅎㄷㄷ관람객 동화의 판티지를 실사 블록버스터로 만든 좋은예!!관람객 여자가 깊이 빡치면 오뉴월에 서리가 내림관람객 전 완전 재밌게봤어요ㅋㅋㅋ 개봉하자마자 조조로 보고 나왔네요. 기대 잔뜩하고 봤다가 실망할까 그랬는데 기다린 값 합니다.관람객 솔직히 진짜 스토리 뭣같은데.. 안젤리나 졸리가 다.. 했잖아요... 너무 아름다워서 안젤리나졸리만 보이고 안젤리나졸리가 최고시고 안젤리나졸리가 말레피센트고 말레피센트가 안젤리나졸리고 아 안젤리나졸리.. 잠 좀 자고...관람객 신선햇음ㅋㅋ졸리언니무섭ㅜ
캐리비안의 해적 - 세상의 끝에서,"2007년 에 영화관에서 본 기억이 있는데 후반에 싸우면서 결혼식 하고 키스할때 관객들 다 넋빠져서 입 못다물고 감탄했던 기억이 난다... 요즘와서 불법다운으로 보고 평점깎는 놈들 반성하길.. 그 당시 영화시장에서 ...전작에 비하면 아쉽지만 말이필요한가? 해상전투영화 최강이지...나랑 같이 해적질할사람난최고같은뎅미치겠다 명장면이 한둘인가? 처음에 아이가 노래시작하는것부터 시작해서 계속생각이 난다 아직도 그 노래의 멜로디가 생각난다 걍 계속 생각나정말 명장면으로 가득찬 영화, 앨리자벳과 윌 터너의 결혹식과 안타까운 사랑과 잭 스패로우의 갈등.. 유머로 감싸진 굉장한 대작.스리즈중 가장 잼있었어진짜재밌음육년만에 다시봐도 짱이다ㅜㅜ 개인적으로 캐리비안의 해적 시리즈 최고인듯ㅜㅜ해전 씬은 절대 못 잊음... 해적 액션 어드벤처론 당연 최강의 명작이쥐!"
서양골동양과자점 앤티크,"보고나면 기분좋은 여운이남음게이꽃미남 영화로 홍보되었지만 사실은. 어릴때 트라우마로 어딘가 고장나버린 남자, 성소수자, 꿈의 좌절, 불행한 가정 등 각자 상처를 입은 사람들이 어떻게든 살아나가는 이야기. 그래서 나는 이 작품이 너무나 좋다....정말재미없을줄알았는데생각에로 너무너무괜찮은영화!동화같은 영화. 달달하면서도 가볍지만은 않았고, 트라우마를 표현하고 풀어내는 과정이 좋았다.굉장히 재미있었고 유아인도 좋았다..ㅎ졸잼d가벼운 영화라 생각했는데 후반부는 좋더군요...재밌다아아아 뭔가 잡다한게 섞인 것 같은데 묘한 매력있는 영화기대 안하고 봤는데 잼있어요. 이런 영화가 있었다니 놀랍네요. 못보고 지나친 영화 찾아서 보는 재미에 빠지게 되었어요....^^ 눈도 무척 호강합니다..꽃남들에~~멋진 의상에~~개봉했을 때 영화관에서만 3번 보고 몇 년만에 다시 보는데도 재밌네요;)♥"
